name,label
abstract-objects,abstract-objects
action,action
actualism,actualism
adorno,adorno
aesthetic-judgment,aesthetic-judgment
affirmative-action,affirmative-action
albert-saxony,albert-saxony
alcmaeon,alcmaeon
alexander-aphrodisias,alexander-aphrodisias
altruism-biological,altruism-biological
alyngton,alyngton
analogy-medieval,analogy-medieval
analysis,analysis
analytic-synthetic,analytic-synthetic
moral-animal,moral-animal
anselm,anselm
aquinas,aquinas
archytas,archytas
aristotle-ethics,aristotle-ethics
aristotle-logic,aristotle-logic
aristotle-metaphysics,aristotle-metaphysics
aristotle-politics,aristotle-politics
aristotle-psychology,aristotle-psychology
aristotle-rhetoric,aristotle-rhetoric
artifact,artifact
logic-ai,logic-ai
augustine,augustine
auriol,auriol
austin-john,austin-john
autonomy-moral,autonomy-moral
personal-autonomy,personal-autonomy
basing-epistemic,basing-epistemic
bauer,bauer
bayes-theorem,bayes-theorem
bayle,bayle
behaviorism,behaviorism
binarium,binarium
biology-self,biology-self
boolalg-math,boolalg-math
bosanquet,bosanquet
boyle,boyle
bradley,bradley
brentano,brentano
brentano-judgement,brentano-judgement
brouwer,brouwer
buridan,buridan
cambridge-platonists,cambridge-platonists
category-theory,category-theory
causation-backwards,causation-backwards
causation-process,causation-process
causation-counterfactual,causation-counterfactual
causation-law,causation-law
causation-mani,causation-mani
causation-medieval,causation-medieval
causation-metaphysics,causation-metaphysics
causation-probabilistic,causation-probabilistic
change,change
moral-character,moral-character
childhood,childhood
children,children
christiantheology-philosophy,christiantheology-philosophy
church-turing,church-turing
civil-rights,civil-rights
clarke,clarke
cognitive-science,cognitive-science
collins,collins
color,color
common-knowledge,common-knowledge
communitarianism,communitarianism
comparphil-chiwes,comparphil-chiwes
ethics-computer,ethics-computer
computing-history,computing-history
condemnation,condemnation
condillac,condillac
conditionals,conditionals
confucius,confucius
connectionism,connectionism
conscience-medieval,conscience-medieval
consciousness-animal,consciousness-animal
consciousness-higher,consciousness-higher
consciousness-intentionality,consciousness-intentionality
consciousness-representational,consciousness-representational
consciousness-unity,consciousness-unity
consequentialism,consequentialism
constitutionalism,constitutionalism
contractarianism,contractarianism
conway,conway
cosmology-30s,cosmology-30s
cosmopolitanism,cosmopolitanism
creationism,creationism
criminal-law,criminal-law
curry-paradox,curry-paradox
peter-damian,peter-damian
dante,dante
david,david
davidson,davidson
death,death
descartes-epistemology,descartes-epistemology
descartes-ethics,descartes-ethics
descartes-works,descartes-works
